#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=30.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:111 out:113 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:7 misc:393 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:36.03 aq:22.65 tex:52 mv:13 misc:423 imb:1 pmb:0 smb:8159 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:36.03 aq:28.76 tex:887 mv:70 misc:619 imb:1 pmb:30 smb:8129 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:36.03 aq:26.59 tex:1161 mv:142 misc:713 imb:9 pmb:40 smb:8111 d:- ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:36.03 aq:27.47 tex:443 mv:43 misc:474 imb:2 pmb:6 smb:8152 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:6 misc:418 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:7 misc:401 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:36.03 aq:24.00 tex:69 mv:13 misc:438 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:36.03 aq:24.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:36.03 aq:24.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:146 out:143 type:P dur:2 cpbdur:2 q:36.03 aq:24.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
